Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,99.190002,99.629997,96.349998,97.529999,92.876282,1776200
2021-06-01,99.040001,99.199997,97.070000,97.400002,92.752495,1984100
2021-06-02,98.000000,98.019997,95.199997,96.800003,92.181129,2532500
2021-06-03,96.430000,97.559998,94.550003,95.769997,91.200272,1757600
2021-06-04,96.989998,97.660004,94.919998,97.470001,92.819153,1155100
2021-06-07,98.000000,99.629997,96.779999,97.339996,92.695351,1482300
2021-06-08,97.400002,100.059998,96.480003,99.919998,95.152252,1507800
2021-06-09,99.660004,100.849998,98.669998,99.279999,94.542786,1363100
2021-06-10,99.639999,100.059998,96.849998,97.349998,93.045082,1756900
2021-06-11,97.589996,100.360001,97.470001,100.160004,95.730827,2869100
2021-06-14,100.669998,102.330002,97.370003,98.309998,93.962624,1848800
2021-06-15,97.860001,97.860001,93.910004,95.190002,90.980598,1977300
2021-06-16,94.320000,94.400002,91.930000,93.620003,89.480026,1741300
2021-06-17,93.279999,93.599998,89.209999,91.459999,87.415543,2239400
2021-06-18,90.580002,93.510002,90.139999,91.699997,87.644928,2249200
2021-06-21,92.800003,96.029999,92.300003,95.919998,91.678314,1643700
2021-06-22,95.910004,98.269997,94.769997,97.010002,92.720116,1265400
2021-06-23,97.629997,98.800003,96.669998,98.400002,94.048653,1653000
2021-06-24,99.150002,99.480003,97.419998,98.680000,94.316269,1128800
2021-06-25,100.169998,102.919998,99.519997,101.209999,96.734390,1933600
2021-06-28,100.589996,100.949997,98.139999,99.099998,94.717690,1274300
2021-06-29,101.080002,102.400002,99.930000,100.879997,96.418976,2017600
2021-06-30,101.800003,102.129997,97.489998,100.190002,95.759499,1817100
2021-07-01,100.190002,102.120003,99.849998,101.500000,97.011566,910400
2021-07-02,101.370003,101.820000,99.430000,100.459999,96.017555,676400
2021-07-06,100.580002,100.580002,95.639999,97.769997,93.446503,1108300
2021-07-07,97.510002,98.970001,95.660004,98.489998,94.134666,1418100
2021-07-08,97.120003,99.500000,94.379997,98.110001,93.771477,2217000
2021-07-09,99.190002,101.379997,98.900002,101.309998,96.829964,1021300
2021-07-12,101.250000,102.150002,99.760002,100.320000,95.883743,1118400
2021-07-13,99.959999,101.269997,99.339996,100.010002,95.587456,742800
2021-07-14,101.489998,102.339996,100.639999,101.239998,96.763062,1111200
2021-07-15,100.099998,100.570000,97.370003,98.910004,94.536102,1384200
2021-07-16,98.260002,99.290001,95.070000,95.199997,90.990150,1068900
2021-07-19,92.019997,95.120003,91.480003,94.849998,90.655632,1148900
2021-07-20,95.599998,98.550003,94.500000,98.169998,93.828819,974900
2021-07-21,98.970001,101.589996,98.900002,101.449997,96.963776,1128100
2021-07-22,101.739998,101.739998,99.699997,101.279999,96.801292,852200
2021-07-23,102.290001,104.690002,101.889999,104.410004,99.792885,1373800
2021-07-26,104.120003,106.570000,103.650002,104.010002,99.410568,1230900
2021-07-27,103.860001,103.900002,100.870003,102.879997,98.330536,954700
2021-07-28,103.120003,103.849998,101.720001,102.730003,98.187172,803900
2021-07-29,103.660004,107.370003,103.629997,105.110001,100.461929,1577800
2021-07-30,103.879997,108.239998,103.379997,104.139999,99.534821,1422900
2021-08-02,104.540001,106.570000,104.180000,105.139999,100.490601,778900
2021-08-03,105.820000,108.449997,104.279999,108.250000,103.463074,1212800
2021-08-04,107.860001,108.699997,104.070000,104.690002,100.060501,1427300
2021-08-05,105.720001,107.959999,105.190002,107.779999,103.013855,1089900
2021-08-06,108.160004,109.260002,106.650002,107.550003,102.794029,1122700
2021-08-09,107.000000,108.400002,106.089996,106.820000,102.096306,609100
2021-08-10,106.750000,110.230003,106.400002,108.830002,104.017426,1097000
2021-08-11,108.940002,109.610001,106.620003,108.559998,103.759361,976300
2021-08-12,109.650002,110.709999,107.849998,109.480003,104.638687,848100
2021-08-13,109.669998,110.440002,108.510002,109.019997,104.199020,1125600
2021-08-16,108.500000,112.089996,107.580002,111.739998,106.798737,1274300
2021-08-17,110.379997,110.430000,105.239998,105.919998,101.236107,1846400
2021-08-18,105.839996,108.470001,105.440002,105.699997,101.025833,1736500
2021-08-19,103.790001,106.589996,102.769997,105.029999,100.385460,1323600
2021-08-20,107.430000,109.860001,106.510002,109.820000,104.963646,1559300
2021-08-23,111.019997,112.419998,110.540001,111.790001,106.846527,1539100
2021-08-24,112.370003,116.199997,111.900002,114.389999,109.331551,2832300
2021-08-25,130.750000,134.800003,128.800003,129.600006,123.868958,17882900
2021-08-26,131.000000,136.550003,128.320007,134.979996,129.011032,10536600
2021-08-27,135.490005,138.580002,133.360001,138.500000,132.375381,3195300
2021-08-30,139.389999,144.740005,137.839996,142.009995,135.730164,4471700
2021-08-31,141.520004,143.139999,137.860001,140.809998,134.583237,2269800
2021-09-01,141.940002,146.940002,139.460007,143.699997,137.345428,4540400
2021-09-02,143.919998,146.490005,142.020004,142.429993,136.131592,5904200
2021-09-03,141.960007,145.889999,141.220001,145.190002,138.769547,2587200
2021-09-07,145.190002,147.389999,139.110001,140.190002,133.990662,2487200
2021-09-08,141.139999,141.410004,133.919998,134.279999,128.341995,3294400
2021-09-09,128.759995,134.899994,125.379997,132.149994,132.149994,4195200
2021-09-10,131.610001,134.389999,131.339996,132.059998,132.059998,2804100
2021-09-13,132.500000,132.949997,128.509995,130.360001,130.360001,2402400
2021-09-14,130.710007,132.800003,129.520004,130.539993,130.539993,1849900
2021-09-15,131.000000,133.750000,130.210007,133.600006,133.600006,1330000
